1,"A goldfish has an attention span of 3 seconds."
2,"Animals that lay eggs don't have belly buttons."
3,"Beavers can hold their breath for 45 minutes under water."
4,"Slugs have four noses."
5,"Camels have three eyelids."
6,"A honey bee can fly at 15mph."
7,"A queen bee can lay 800-1,500 eggs per day."
8,"A bee has five eyelids."
9,"The average speed of a housefly is 4.5 mph."
10,"Mosquitoes are attracted to people who just ate bananas."
11,"Flamingos turn pink from eating shrimp."
12,"Emus and kangaroos cannot walk backward."
13,"Cats have over 100 vocal chords."
14,"Camel's milk does not curdle."
15,"All porcupines float in water."
16,"The world's termites outweigh the world's humans about 10 to 1."
17,"A hummingbird weighs less than a penny."
18,"A jellyfish is approximately 95% water."
19,"Children tend to grow faster in the spring."
20,"Broccoli is the only vegetable that is also a flower."
21,"Almonds are part of the peach family."
22,"Alaska has the highest percentage of people who walk to work."
23,"The San Francisco cable cars are the only mobile national monument."
24,"The state of Maine has 62 lighthouses."
25,"The only food that does not spoil is honey."
26,"The Hawaiian alphabet only has 12 letters."
27,"A ball of glass will bounce higher than a ball of rubber."
28,"Chewing gum while peeling onions will prevent you from crying."
29,"On average a human will spend up to 2 weeks kissing in his/her lifetime."
30,"Fish have eyelids."
31,"The average human eats 8 spiders in his/her lifetime while sleeping."
32,"There are about 1 million ants for every person in the world."
33,"Termites eat through wood two times faster when listening to rock music!"
34,"If you keep a goldfish in a dark room it will eventually turn white."
35,"Elephants only sleep 2 hours a day."
36,"A duck's quack doesn't echo."
37,"A snail breathes through its foot."
38,"Fish cough."
39,"An ant's sense of smell is stronger than a dog's."
40,"It is possible to lead a cow up stairs but not down."
41,"Shrimp can only swim backward."
42,"Frogs cannot swallow with their eyes open."
43,"A cat's lower jaw cannot move sideways."
44,"The bullfrog is the only animal that never sleeps."
45,"Elephants are capable of swimming 20 miles per day."
46,"Elephants are the only mammals that can't jump."
47,"Giraffes have no vocal chords."
48,"Cats can hear ultrasound."
49,"Despite its hump, a camel has a straight spine."
50,"Mosquitoes have 47 teeth."
51,"There are 63,360 inches in a mile."
52,"About 11% of the people in the world are left-handed."
53,"The average women consumes six pounds of lipstick in her lifetime."
54,"The average smell weighs 760 nanograms."
55,"A human brain weighs about three pounds."
56,"1/4 of the bones in your body are in your feet."
57,"You blink over 10,000,000 times a year."
58,"A sneeze travels out of your mouth at over 100 miles an hour."
59,"Brain waves can be used to power an electric train."
60,"The tongue is the fastest healing part of the body."
61,"Pigs can get sunburn."
62,"The lifespan of a taste bud is about ten days."
63,"The average human produces 10,000 gallons of saliva in a lifetime."
64,"Strawberries contain more vitamin C than oranges."
65,"A one-day weather forecast requires about 10 billion math calculations."
66,"Americans, on average, eat 18 acres of pizza a day."
67,"There are 18 different animal shapes in the animal cracker zoo."
68,"The longest one syllable word is screeched."
69,"No word in the English language rhymes with month."
70,"Caller ID is illegal in California."
71,"There is a town called 'Big Ugly' in West Virginia."
72,"The average person uses 150 gallons of water per day for personal use."
73,"The average person spends 2 weeks over his/her lifetime waiting for a traffic light to change."
74,"You share your birthday with at least 9 million other people in the world."
75,"The average person makes 1,140 phone calls per year."
76,"The average person spends about 2 years on the phone in a lifetime."
77,"No piece of paper can be folded more than seven times."
78,"Alaska is the most eastern and western state in the U.S."
79,"There are 119 grooves on the edge of a quarter."
80,"About 18 percent of animal owners share their bed with their pet."
81,"Alaska has more caribou than people."
82,"August has the highest percentage of births."
83,"Googol is a number (1 followed by 100 zeros)."
84,"Oysters can change from one gender to another and back again."
85,"The Mona Lisa has no eyebrows."
86,"Until the 19th century, solid blocks of tea were used as money in Siberia."
87,"A mile on the ocean and a mile on land are not the same distance."
88,"A ten gallon hat holds less than one gallon of liquid."
89,"The average American walks 18,000 steps a day."
90,"The average raindrop falls at seven mph."
91,"There are more telephones than people in Washington, D.C."
92,"Fish can drown."
93,"A kangaroo can jump 30 feet."
94,"Lizards communicate by doing push-ups."
95,"Squids can have eyes the size of a volleyball."
96,"The average American will eat 35,000 cookies in his/her lifetime."
97,"A turkey can run at 20 mph."
98,"When the moon is directly overhead, you weigh slightly less."
99,"You burn about 20 calories per hour chewing gum."
100,"In a year, the average person walks four miles making his or her bed."
101,"About half of all Americans are on a diet on any given day."
102,"A one-minute kiss burns about 26 calories."
103,"Frowning burns more calories than smiling."
104,"There are more than 30,000 diets on public record."
105,"You will burn about 7% more calories walking on hard dirt than on pavement."
106,"You would weigh less on the top of a mountain than at sea level."
107,"You burn more calories sleeping than watching TV."
108,"Licking a stamp burns 10 calories."
109,"Smelling apples and/or bananas can help you lose weight."
110,"Frogs never drink."
111,"Only male turkeys gobble."
112,"At birth, a Dalmation is always pure white."
113,"The fastest recorded speed of a racehorse was over 43 mph."
114,"The oldest known animal was a tortoise, which lived to be 152 years old."
115,"Bamboo makes up 99 percent of a panda's diet."
116,"The largest fish is the whale shark - it can be over 50 feet long and weigh two tons."
117,"The starfish is the only animal that can turn its stomach inside out."
118,"Honeybees are the only insects that create a form of food for humans."
119,"The hummingbird is the only bird that can fly backwards."
120,"The only continent without reptiles or snakes is Antarctica."
121,"The only bird that can swim and not fly is a penguin."
122,"A duck can't walk without bobbing its head."
123,"Beavers were once the size of bears."
124,"Seals sleep only one and a half minutes at a time."
125,"Pigeons have been trained by the U.S. Coast Guard to spot people lost at sea."
126,"A pigeon's feathers are heavier than its bones."
127,"A hummingbird's heart beats 1,400 times a minute."
128,"Dragonflies have six legs but can't walk."
129,"Dolphins can jump up to 20 feet in the air."
130,"Koala and humans are the only animals with unique fingerprints."
